index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,V
75,75,0.023125428,29.4444444,4.4444444,10,1,2.05,2.25,0.153134763
76,76,0.057813569,29.4444444,4.4444444,10,1,2.05,2.25,0.179606295
77,77,0.173440706,29.4444444,4.4444444,10,1,2.05,2.25,0.135437915
78,78,0.023125428,35,4.4444444,10,1,2.05,2.25,0.138773285
79,79,0.057813569,35,4.4444444,10,1,2.05,2.25,0.142488195
80,80,0.173440706,35,4.4444444,10,1,2.05,2.25,0.133484881
81,81,0.023125428,26.6666667,7.2222222,10,1,2.05,2.25,0.148845558
82,82,0.057813569,26.6666667,7.2222222,10,1,2.05,2.25,0.137604346
83,83,0.173440706,26.6666667,7.2222222,10,1,2.05,2.25,0.136433069
84,84,0.023125428,29.4444444,7.2222222,10,1,2.05,2.25,0.182887507
85,85,0.057813569,29.4444444,7.2222222,10,1,2.05,2.25,0.196379135
86,86,0.173440706,29.4444444,7.2222222,10,1,2.05,2.25,0.141101376
87,87,0.023125428,35,7.2222222,10,1,2.05,2.25,0.145018059
88,88,0.057813569,35,7.2222222,10,1,2.05,2.25,0.176370354
89,89,0.173440706,35,7.2222222,10,1,2.05,2.25,0.144493363
90,90,0.023125428,26.6666667,10,10,1,2.05,2.25,0.132932993
91,91,0.057813569,26.6666667,10,10,1,2.05,2.25,0.173871467
92,92,0.173440706,26.6666667,10,10,1,2.05,2.25,0.149430507
93,93,0.023125428,29.4444444,10,10,1,2.05,2.25,0.124495715
94,94,0.057813569,29.4444444,10,10,1,2.05,2.25,0.129841195
95,95,0.173440706,29.4444444,10,10,1,2.05,2.25,0.167571302
96,96,0.023125428,35,10,10,1,2.05,2.25,0.178797437
97,97,0.057813569,35,10,10,1,2.05,2.25,0.205320709
98,98,0.173440706,35,10,10,1,2.05,2.25,0.170096945
99,99,0.023125428,26.6666667,12.7777778,10,1,2.05,2.25,0.17774531
100,100,0.057813569,26.6666667,12.7777778,10,1,2.05,2.25,0.175724748
101,101,0.173440706,26.6666667,12.7777778,10,1,2.05,2.25,0.153602866
102,102,0.023125428,29.4444444,12.7777778,10,1,2.05,2.25,0.147192767
103,103,0.057813569,29.4444444,12.7777778,10,1,2.05,2.25,0.152769861
104,104,0.173440706,29.4444444,12.7777778,10,1,2.05,2.25,0.15676678
105,105,0.023125428,35,12.7777778,10,1,2.05,2.25,0.14441288
106,106,0.057813569,35,12.7777778,10,1,2.05,2.25,0.143831926
107,107,0.173440706,35,12.7777778,10,1,2.05,2.25,0.187070541
108,108,0.023125428,26.6666667,4.4444444,12.7777778,1,2.05,2.25,0.113356988
109,109,0.057813569,26.6666667,4.4444444,12.7777778,1,2.05,2.25,0.115461865
110,110,0.173440706,26.6666667,4.4444444,12.7777778,1,2.05,2.25,0.107846072
111,111,0.023125428,29.4444444,4.4444444,12.7777778,1,2.05,2.25,0.116429947
112,112,0.057813569,29.4444444,4.4444444,12.7777778,1,2.05,2.25,0.110293905
113,113,0.173440706,29.4444444,4.4444444,12.7777778,1,2.05,2.25,0.118264244
114,114,0.023125428,35,4.4444444,12.7777778,1,2.05,2.25,0.111965159
115,115,0.057813569,35,4.4444444,12.7777778,1,2.05,2.25,0.104667813
116,116,0.173440706,35,4.4444444,12.7777778,1,2.05,2.25,0.109446546
117,117,0.023125428,26.6666667,7.2222222,12.7777778,1,2.05,2.25,0.112965107
118,118,0.057813569,26.6666667,7.2222222,12.7777778,1,2.05,2.25,0.105078539
119,119,0.173440706,26.6666667,7.2222222,12.7777778,1,2.05,2.25,0.114699784
120,120,0.023125428,29.4444444,7.2222222,12.7777778,1,2.05,2.25,0.106374571
121,121,0.057813569,29.4444444,7.2222222,12.7777778,1,2.05,2.25,0.115749433
122,122,0.173440706,29.4444444,7.2222222,12.7777778,1,2.05,2.25,0.109458036
123,123,0.023125428,35,7.2222222,12.7777778,1,2.05,2.25,0.102094876
124,124,0.057813569,35,7.2222222,12.7777778,1,2.05,2.25,0.10900953
125,125,0.173440706,35,7.2222222,12.7777778,1,2.05,2.25,0.109681118
126,126,0.023125428,26.6666667,10,12.7777778,1,2.05,2.25,0.102238354
127,127,0.057813569,26.6666667,10,12.7777778,1,2.05,2.25,0.111233285
128,128,0.173440706,26.6666667,10,12.7777778,1,2.05,2.25,0.104585602
129,129,0.023125428,29.4444444,10,12.7777778,1,2.05,2.25,0.11287666
130,130,0.057813569,29.4444444,10,12.7777778,1,2.05,2.25,0.105327949
131,131,0.173440706,29.4444444,10,12.7777778,1,2.05,2.25,0.099027759
132,132,0.023125428,35,10,12.7777778,1,2.05,2.25,0.098406358
133,133,0.057813569,35,10,12.7777778,1,2.05,2.25,0.102409735
134,134,0.173440706,35,10,12.7777778,1,2.05,2.25,0.094900996
135,135,0.023125428,26.6666667,12.7777778,12.7777778,1,2.05,2.25,0.106104971
136,136,0.057813569,26.6666667,12.7777778,12.7777778,1,2.05,2.25,0.099403447
137,137,0.173440706,26.6666667,12.7777778,12.7777778,1,2.05,2.25,0.109473076
138,138,0.023125428,29.4444444,12.7777778,12.7777778,1,2.05,2.25,0.105440903
139,139,0.057813569,29.4444444,12.7777778,12.7777778,1,2.05,2.25,0.09900936
140,140,0.173440706,29.4444444,12.7777778,12.7777778,1,2.05,2.25,0.09601974
141,141,0.023125428,35,12.7777778,12.7777778,1,2.05,2.25,0.098323281
142,142,0.057813569,35,12.7777778,12.7777778,1,2.05,2.25,0.090368057
143,143,0.173440706,35,12.7777778,12.7777778,1,2.05,2.25,0.101243274
144,144,0.023125428,10,23.8888889,26.6666667,1,2.05,2.25,0.093721147
145,145,0.057813569,10,23.8888889,26.6666667,1,2.05,2.25,0.103759913
146,146,0.173440706,10,23.8888889,26.6666667,1,2.05,2.25,0.097170912
147,147,0.023125428,12.7777778,23.8888889,26.6666667,1,2.05,2.25,0.088226967
148,148,0.057813569,12.7777778,23.8888889,26.6666667,1,2.05,2.25,0.090351342
149,149,0.173440706,12.7777778,23.8888889,26.6666667,1,2.05,2.25,0.090525375
150,150,0.023125428,15.5555556,23.8888889,26.6666667,1,2.05,2.25,0.082886661
151,151,0.057813569,15.5555556,23.8888889,26.6666667,1,2.05,2.25,0.092613189
152,152,0.173440706,15.5555556,23.8888889,26.6666667,1,2.05,2.25,0.084825085
153,153,0.023125428,10,26.6666667,26.6666667,1,2.05,2.25,0.094920734
154,154,0.057813569,10,26.6666667,26.6666667,1,2.05,2.25,0.087324394
155,155,0.173440706,10,26.6666667,26.6666667,1,2.05,2.25,0.08015515
156,156,0.023125428,12.7777778,26.6666667,26.6666667,1,2.05,2.25,0.251819156
157,157,0.057813569,12.7777778,26.6666667,26.6666667,1,2.05,2.25,0.233122284
158,158,0.173440706,12.7777778,26.6666667,26.6666667,1,2.05,2.25,0.272802618
159,159,0.023125428,15.5555556,26.6666667,26.6666667,1,2.05,2.25,0.275612037
160,160,0.057813569,15.5555556,26.6666667,26.6666667,1,2.05,2.25,0.238300862
161,161,0.173440706,15.5555556,26.6666667,26.6666667,1,2.05,2.25,0.259608342
162,162,0.023125428,10,29.4444444,26.6666667,1,2.05,2.25,0.232246571
