index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,T
75,25,0.393132184,12.78,28.06,28.06,28.754,3,20.7675,3.425,26.01781107
76,26,0.393132184,12.78,28.06,28.06,30.282,3,9.23,1.575,26.34921592
77,26,0.393132184,12.78,28.06,28.06,30.282,3,6.9225,3.425,26.13156899
78,26,0.393132184,12.78,28.06,28.06,30.282,3,20.7675,3.425,26.11333907
79,27,0.393132184,12.78,28.06,28.06,31.671,3,9.23,1.575,26.26805784
80,27,0.393132184,12.78,28.06,28.06,31.671,3,6.9225,3.425,26.2339298
81,27,0.393132184,12.78,28.06,28.06,31.671,3,20.7675,3.425,25.97922852
82,28,0.439383029,4.44,23.89,23.89,24.584,3,9.23,1.575,21.50206171
83,28,0.439383029,4.44,23.89,23.89,24.584,3,6.9225,3.425,21.2984359
84,28,0.439383029,4.44,23.89,23.89,24.584,3,20.7675,3.425,21.36654416
85,29,0.439383029,4.44,23.89,23.89,26.112,3,9.23,1.575,21.31155815
86,29,0.439383029,4.44,23.89,23.89,26.112,3,6.9225,3.425,21.25633319
87,29,0.439383029,4.44,23.89,23.89,26.112,3,20.7675,3.425,21.09120784
88,30,0.439383029,4.44,23.89,23.89,27.501,3,9.23,1.575,21.50767535
89,30,0.439383029,4.44,23.89,23.89,27.501,3,6.9225,3.425,21.28426148
90,30,0.439383029,4.44,23.89,23.89,27.501,3,20.7675,3.425,21.31105181
91,31,0.439383029,4.44,25.97,25.97,24.584,3,9.23,1.575,22.86102701
92,31,0.439383029,4.44,25.97,25.97,24.584,3,6.9225,3.425,22.87718384
93,31,0.439383029,4.44,25.97,25.97,24.584,3,20.7675,3.425,22.70847645
94,32,0.439383029,4.44,25.97,25.97,26.112,3,9.23,1.575,22.93914474
95,32,0.439383029,4.44,25.97,25.97,26.112,3,6.9225,3.425,22.94060366
96,32,0.439383029,4.44,25.97,25.97,26.112,3,20.7675,3.425,22.72045125
97,33,0.439383029,4.44,25.97,25.97,27.501,3,9.23,1.575,23.38560611
98,33,0.439383029,4.44,25.97,25.97,27.501,3,6.9225,3.425,23.07330866
99,33,0.439383029,4.44,25.97,25.97,27.501,3,20.7675,3.425,23.15681166
100,34,0.439383029,4.44,28.06,28.06,24.584,3,9.23,1.575,24.52664869
101,34,0.439383029,4.44,28.06,28.06,24.584,3,6.9225,3.425,24.40585936
102,34,0.439383029,4.44,28.06,28.06,24.584,3,20.7675,3.425,24.1060392
103,35,0.439383029,4.44,28.06,28.06,26.112,3,9.23,1.575,24.63022252
104,35,0.439383029,4.44,28.06,28.06,26.112,3,6.9225,3.425,24.51744901
105,35,0.439383029,4.44,28.06,28.06,26.112,3,20.7675,3.425,24.51870518
106,36,0.439383029,4.44,28.06,28.06,27.501,3,9.23,1.575,24.87441198
107,36,0.439383029,4.44,28.06,28.06,27.501,3,6.9225,3.425,24.66840382
108,36,0.439383029,4.44,28.06,28.06,27.501,3,20.7675,3.425,24.59859124
109,37,0.439383029,8.61,23.89,23.89,26.664,3,9.23,1.575,22.29434272
110,37,0.439383029,8.61,23.89,23.89,26.664,3,6.9225,3.425,22.21699189
111,37,0.439383029,8.61,23.89,23.89,26.664,3,20.7675,3.425,21.83124027
112,38,0.439383029,8.61,23.89,23.89,28.192,3,9.23,1.575,22.21906936
113,38,0.439383029,8.61,23.89,23.89,28.192,3,6.9225,3.425,22.0824974
114,38,0.439383029,8.61,23.89,23.89,28.192,3,20.7675,3.425,21.73405723
115,39,0.439383029,8.61,23.89,23.89,29.581,3,9.23,1.575,22.11890538
116,39,0.439383029,8.61,23.89,23.89,29.581,3,6.9225,3.425,21.95128379
117,39,0.439383029,8.61,23.89,23.89,29.581,3,20.7675,3.425,21.97303106
118,40,0.439383029,8.61,25.97,25.97,26.664,3,9.23,1.575,23.69560595
119,40,0.439383029,8.61,25.97,25.97,26.664,3,6.9225,3.425,23.56649532
120,40,0.439383029,8.61,25.97,25.97,26.664,3,20.7675,3.425,23.33784322
121,41,0.439383029,8.61,25.97,25.97,28.192,3,9.23,1.575,23.89121362
122,41,0.439383029,8.61,25.97,25.97,28.192,3,6.9225,3.425,23.64598773
123,41,0.439383029,8.61,25.97,25.97,28.192,3,20.7675,3.425,23.26012454
124,42,0.439383029,8.61,25.97,25.97,29.581,3,9.23,1.575,23.84496852
125,42,0.439383029,8.61,25.97,25.97,29.581,3,6.9225,3.425,23.66851102
126,42,0.439383029,8.61,25.97,25.97,29.581,3,20.7675,3.425,23.3706967
127,43,0.439383029,8.61,28.06,28.06,26.664,3,9.23,1.575,25.63120048
128,43,0.439383029,8.61,28.06,28.06,26.664,3,6.9225,3.425,25.35636248
129,43,0.439383029,8.61,28.06,28.06,26.664,3,20.7675,3.425,24.94271984
130,44,0.439383029,8.61,28.06,28.06,28.192,3,9.23,1.575,25.23990629
131,44,0.439383029,8.61,28.06,28.06,28.192,3,6.9225,3.425,25.24044983
132,44,0.439383029,8.61,28.06,28.06,28.192,3,20.7675,3.425,24.98812356
133,45,0.439383029,8.61,28.06,28.06,29.581,3,9.23,1.575,25.34300944
134,45,0.439383029,8.61,28.06,28.06,29.581,3,6.9225,3.425,25.4150297
135,45,0.439383029,8.61,28.06,28.06,29.581,3,20.7675,3.425,24.98892829
136,46,0.439383029,12.78,23.89,23.89,28.754,3,9.23,1.575,23.21985149
137,46,0.439383029,12.78,23.89,23.89,28.754,3,6.9225,3.425,23.17434632
138,46,0.439383029,12.78,23.89,23.89,28.754,3,20.7675,3.425,22.79401675
139,47,0.439383029,12.78,23.89,23.89,30.282,3,9.23,1.575,23.31865154
140,47,0.439383029,12.78,23.89,23.89,30.282,3,6.9225,3.425,23.21387114
141,47,0.439383029,12.78,23.89,23.89,30.282,3,20.7675,3.425,22.71348983
142,48,0.439383029,12.78,23.89,23.89,31.671,3,9.23,1.575,23.24957639
143,48,0.439383029,12.78,23.89,23.89,31.671,3,6.9225,3.425,23.27115834
144,48,0.439383029,12.78,23.89,23.89,31.671,3,20.7675,3.425,23.09938088
