index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,MRT
75,25,0.393132184,12.78,28.06,28.06,28.754,3,20.7675,3.425,28.69982346
76,26,0.393132184,12.78,28.06,28.06,30.282,3,9.23,1.575,28.75689476
77,26,0.393132184,12.78,28.06,28.06,30.282,3,6.9225,3.425,28.80502324
78,26,0.393132184,12.78,28.06,28.06,30.282,3,20.7675,3.425,28.77275664
79,27,0.393132184,12.78,28.06,28.06,31.671,3,9.23,1.575,28.77354777
80,27,0.393132184,12.78,28.06,28.06,31.671,3,6.9225,3.425,28.85986755
81,27,0.393132184,12.78,28.06,28.06,31.671,3,20.7675,3.425,28.78673225
82,28,0.439383029,4.44,23.89,23.89,24.584,3,9.23,1.575,24.94782513
83,28,0.439383029,4.44,23.89,23.89,24.584,3,6.9225,3.425,24.94772689
84,28,0.439383029,4.44,23.89,23.89,24.584,3,20.7675,3.425,24.87520541
85,29,0.439383029,4.44,23.89,23.89,26.112,3,9.23,1.575,24.95529335
86,29,0.439383029,4.44,23.89,23.89,26.112,3,6.9225,3.425,24.99143794
87,29,0.439383029,4.44,23.89,23.89,26.112,3,20.7675,3.425,24.88226732
88,30,0.439383029,4.44,23.89,23.89,27.501,3,9.23,1.575,24.96812366
89,30,0.439383029,4.44,23.89,23.89,27.501,3,6.9225,3.425,25.03129567
90,30,0.439383029,4.44,23.89,23.89,27.501,3,20.7675,3.425,24.94766137
91,31,0.439383029,4.44,25.97,25.97,24.584,3,9.23,1.575,26.72365528
92,31,0.439383029,4.44,25.97,25.97,24.584,3,6.9225,3.425,26.70484849
93,31,0.439383029,4.44,25.97,25.97,24.584,3,20.7675,3.425,26.59874156
94,32,0.439383029,4.44,25.97,25.97,26.112,3,9.23,1.575,26.73683126
95,32,0.439383029,4.44,25.97,25.97,26.112,3,6.9225,3.425,26.74596608
96,32,0.439383029,4.44,25.97,25.97,26.112,3,20.7675,3.425,26.63578481
97,33,0.439383029,4.44,25.97,25.97,27.501,3,9.23,1.575,26.76851097
98,33,0.439383029,4.44,25.97,25.97,27.501,3,6.9225,3.425,26.77853475
99,33,0.439383029,4.44,25.97,25.97,27.501,3,20.7675,3.425,26.71862365
100,34,0.439383029,4.44,28.06,28.06,24.584,3,9.23,1.575,28.53149404
101,34,0.439383029,4.44,28.06,28.06,24.584,3,6.9225,3.425,28.45864909
102,34,0.439383029,4.44,28.06,28.06,24.584,3,20.7675,3.425,28.39707079
103,35,0.439383029,4.44,28.06,28.06,26.112,3,9.23,1.575,28.5141508
104,35,0.439383029,4.44,28.06,28.06,26.112,3,6.9225,3.425,28.50705307
105,35,0.439383029,4.44,28.06,28.06,26.112,3,20.7675,3.425,28.41754537
106,36,0.439383029,4.44,28.06,28.06,27.501,3,9.23,1.575,28.55744095
107,36,0.439383029,4.44,28.06,28.06,27.501,3,6.9225,3.425,28.56324658
108,36,0.439383029,4.44,28.06,28.06,27.501,3,20.7675,3.425,28.45160089
109,37,0.439383029,8.61,23.89,23.89,26.664,3,9.23,1.575,25.04971296
110,37,0.439383029,8.61,23.89,23.89,26.664,3,6.9225,3.425,25.09438196
111,37,0.439383029,8.61,23.89,23.89,26.664,3,20.7675,3.425,25.0099918
112,38,0.439383029,8.61,23.89,23.89,28.192,3,9.23,1.575,25.0719026
113,38,0.439383029,8.61,23.89,23.89,28.192,3,6.9225,3.425,25.15264708
114,38,0.439383029,8.61,23.89,23.89,28.192,3,20.7675,3.425,25.04917829
115,39,0.439383029,8.61,23.89,23.89,29.581,3,9.23,1.575,25.06741026
116,39,0.439383029,8.61,23.89,23.89,29.581,3,6.9225,3.425,25.17643754
117,39,0.439383029,8.61,23.89,23.89,29.581,3,20.7675,3.425,25.11018931
118,40,0.439383029,8.61,25.97,25.97,26.664,3,9.23,1.575,26.82608556
119,40,0.439383029,8.61,25.97,25.97,26.664,3,6.9225,3.425,26.84117451
