index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,V
75,25,0.393132184,12.78,28.06,28.06,28.754,3,20.7675,3.425,0.174732328
76,26,0.393132184,12.78,28.06,28.06,30.282,3,9.23,1.575,0.156029597
77,26,0.393132184,12.78,28.06,28.06,30.282,3,6.9225,3.425,0.141146301
78,26,0.393132184,12.78,28.06,28.06,30.282,3,20.7675,3.425,0.159554026
79,27,0.393132184,12.78,28.06,28.06,31.671,3,9.23,1.575,0.15121814
80,27,0.393132184,12.78,28.06,28.06,31.671,3,6.9225,3.425,0.136239695
81,27,0.393132184,12.78,28.06,28.06,31.671,3,20.7675,3.425,0.173173953
82,28,0.439383029,4.44,23.89,23.89,24.584,3,9.23,1.575,0.17202297
83,28,0.439383029,4.44,23.89,23.89,24.584,3,6.9225,3.425,0.15597356
84,28,0.439383029,4.44,23.89,23.89,24.584,3,20.7675,3.425,0.165446601
85,29,0.439383029,4.44,23.89,23.89,26.112,3,9.23,1.575,0.170355726
86,29,0.439383029,4.44,23.89,23.89,26.112,3,6.9225,3.425,0.169515931
87,29,0.439383029,4.44,23.89,23.89,26.112,3,20.7675,3.425,0.210012842
88,30,0.439383029,4.44,23.89,23.89,27.501,3,9.23,1.575,0.168263768
89,30,0.439383029,4.44,23.89,23.89,27.501,3,6.9225,3.425,0.166420795
90,30,0.439383029,4.44,23.89,23.89,27.501,3,20.7675,3.425,0.201137013
91,31,0.439383029,4.44,25.97,25.97,24.584,3,9.23,1.575,0.178541078
92,31,0.439383029,4.44,25.97,25.97,24.584,3,6.9225,3.425,0.160795459
93,31,0.439383029,4.44,25.97,25.97,24.584,3,20.7675,3.425,0.211131461
94,32,0.439383029,4.44,25.97,25.97,26.112,3,9.23,1.575,0.169986096
95,32,0.439383029,4.44,25.97,25.97,26.112,3,6.9225,3.425,0.163433494
96,32,0.439383029,4.44,25.97,25.97,26.112,3,20.7675,3.425,0.213460465
97,33,0.439383029,4.44,25.97,25.97,27.501,3,9.23,1.575,0.148690464
98,33,0.439383029,4.44,25.97,25.97,27.501,3,6.9225,3.425,0.155446516
99,33,0.439383029,4.44,25.97,25.97,27.501,3,20.7675,3.425,0.188338075
