index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,MRT,T,V
46,46,0.057813569,26.6666667,7.222222200000001,4.4444444,1,2.05,2.25,26.89822473,28.99284288,0.086489132
47,47,0.17344070600000003,26.6666667,7.222222200000001,4.4444444,1,2.05,2.25,27.18480059,29.27212372,0.08095503700000001
48,48,0.023125427999999996,29.444444399999995,7.222222200000001,4.4444444,1,2.05,2.25,25.61974646,27.30248885,0.09388296900000001
49,49,0.057813569,29.444444399999995,7.222222200000001,4.4444444,1,2.05,2.25,25.99812491,27.68472252,0.08772983699999999
50,50,0.17344070600000003,29.444444399999995,7.222222200000001,4.4444444,1,2.05,2.25,26.15888216,27.96384261,0.087640077
51,51,0.023125427999999996,35.0,7.222222200000001,4.4444444,1,2.05,2.25,26.43110605,28.24137469,0.08636081
52,52,0.057813569,35.0,7.222222200000001,4.4444444,1,2.05,2.25,26.3310876,28.022132199999998,0.073600971
53,53,0.17344070600000003,35.0,7.222222200000001,4.4444444,1,2.05,2.25,26.57057538,28.322571399999998,0.076663745
54,54,0.023125427999999996,26.6666667,10.0,4.4444444,1,2.05,2.25,26.83000401,28.58937739,0.069829478
55,55,0.057813569,26.6666667,10.0,4.4444444,1,2.05,2.25,26.60968259,28.36554885,0.077667795
56,56,0.17344070600000003,26.6666667,10.0,4.4444444,1,2.05,2.25,26.8734185,28.66035171,0.076602262
57,57,0.023125427999999996,29.444444399999995,10.0,4.4444444,1,2.05,2.25,27.17194046,28.93431703,0.080390081
58,58,0.057813569,29.444444399999995,10.0,4.4444444,1,2.05,2.25,27.16131157,29.01680026,0.07195836
59,59,0.17344070600000003,29.444444399999995,10.0,4.4444444,1,2.05,2.25,27.29058475,29.27619163,0.09681805199999999
60,60,0.023125427999999996,35.0,10.0,4.4444444,1,2.05,2.25,25.90088807,27.32511854,0.073333383
61,61,0.057813569,35.0,10.0,4.4444444,1,2.05,2.25,26.19876994,27.69868859,0.08724019300000001
62,62,0.17344070600000003,35.0,10.0,4.4444444,1,2.05,2.25,26.54571926,27.99246581,0.075935961
63,63,0.023125427999999996,26.6666667,12.7777778,4.4444444,1,2.05,2.25,26.62821172,28.2634793,0.080776776
64,64,0.057813569,26.6666667,12.7777778,4.4444444,1,2.05,2.25,26.56977426,28.03778256,0.09134945300000001
65,65,0.17344070600000003,26.6666667,12.7777778,4.4444444,1,2.05,2.25,26.77304678,28.32611176,0.08747714699999999
66,66,0.023125427999999996,29.444444399999995,12.7777778,4.4444444,1,2.05,2.25,27.06449681,28.60802145,0.07547333099999999
67,67,0.057813569,29.444444399999995,12.7777778,4.4444444,1,2.05,2.25,26.85013768,28.38278249,0.07440276400000001
68,68,0.17344070600000003,29.444444399999995,12.7777778,4.4444444,1,2.05,2.25,27.12879349,28.68242347,0.077064674
69,69,0.023125427999999996,35.0,12.7777778,4.4444444,1,2.05,2.25,27.43009533,28.96174449,0.07481935299999999
70,70,0.057813569,35.0,12.7777778,4.4444444,1,2.05,2.25,27.36305762,29.03271842,0.09116804
71,71,0.17344070600000003,35.0,12.7777778,4.4444444,1,2.05,2.25,27.66970932,29.31037015,0.071112254
72,72,0.023125427999999996,26.6666667,4.4444444,10.0,1,2.05,2.25,23.97714954,27.12631206,0.228162434
73,73,0.057813569,26.6666667,4.4444444,10.0,1,2.05,2.25,24.08403898,27.51267157,0.153157584
74,74,0.17344070600000003,26.6666667,4.4444444,10.0,1,2.05,2.25,24.51643323,27.79484068,0.17268833
75,75,0.023125427999999996,29.444444399999995,4.4444444,10.0,1,2.05,2.25,24.77652355,28.06881573,0.153134763
76,76,0.057813569,29.444444399999995,4.4444444,10.0,1,2.05,2.25,24.61089318,27.838614399999997,0.179606295
77,77,0.17344070600000003,29.444444399999995,4.4444444,10.0,1,2.05,2.25,24.76929843,28.13580038,0.135437915
78,78,0.023125427999999996,35.0,4.4444444,10.0,1,2.05,2.25,25.10347921,28.41988848,0.138773285
79,79,0.057813569,35.0,4.4444444,10.0,1,2.05,2.25,24.85169492,28.19313005,0.142488195
80,80,0.17344070600000003,35.0,4.4444444,10.0,1,2.05,2.25,25.07608693,28.48866259,0.133484881
81,81,0.023125427999999996,26.6666667,7.222222200000001,10.0,1,2.05,2.25,25.48941665,28.75232009,0.14884555800000002
82,82,0.057813569,26.6666667,7.222222200000001,10.0,1,2.05,2.25,25.51966531,28.83150198,0.137604346
83,83,0.17344070600000003,26.6666667,7.222222200000001,10.0,1,2.05,2.25,25.20511856,29.07929135,0.136433069
84,84,0.023125427999999996,29.444444399999995,7.222222200000001,10.0,1,2.05,2.25,24.47796174,27.1670157,0.182887507
85,85,0.057813569,29.444444399999995,7.222222200000001,10.0,1,2.05,2.25,24.82484134,27.56163806,0.196379135
86,86,0.17344070600000003,29.444444399999995,7.222222200000001,10.0,1,2.05,2.25,25.23959517,27.86223125,0.141101376
87,87,0.023125427999999996,35.0,7.222222200000001,10.0,1,2.05,2.25,25.31281319,28.11290111,0.145018059
88,88,0.057813569,35.0,7.222222200000001,10.0,1,2.05,2.25,25.03364485,27.89103216,0.17637035399999998
89,89,0.17344070600000003,35.0,7.222222200000001,10.0,1,2.05,2.25,25.19915907,28.17793893,0.144493363
90,90,0.023125427999999996,26.6666667,10.0,10.0,1,2.05,2.25,25.512643399999998,28.44638553,0.132932993
91,91,0.057813569,26.6666667,10.0,10.0,1,2.05,2.25,25.26933242,28.23582677,0.173871467
92,92,0.17344070600000003,26.6666667,10.0,10.0,1,2.05,2.25,25.505376300000002,28.50220344,0.149430507
93,93,0.023125427999999996,29.444444399999995,10.0,10.0,1,2.05,2.25,25.82914597,28.82042115,0.124495715
94,94,0.057813569,29.444444399999995,10.0,10.0,1,2.05,2.25,25.89658359,28.88130514,0.129841195
95,95,0.17344070600000003,29.444444399999995,10.0,10.0,1,2.05,2.25,25.88387846,29.14993442,0.167571302
96,96,0.023125427999999996,35.0,10.0,10.0,1,2.05,2.25,25.00473534,27.23239268,0.178797437
97,97,0.057813569,35.0,10.0,10.0,1,2.05,2.25,25.28102618,27.58960489,0.205320709
98,98,0.17344070600000003,35.0,10.0,10.0,1,2.05,2.25,25.48806129,27.88926061,0.170096945
99,99,0.023125427999999996,26.6666667,12.7777778,10.0,1,2.05,2.25,25.71344177,28.14237971,0.17774531
100,100,0.057813569,26.6666667,12.7777778,10.0,1,2.05,2.25,25.56356266,27.90872348,0.17572474800000001
101,101,0.17344070600000003,26.6666667,12.7777778,10.0,1,2.05,2.25,25.7989082,28.21880655,0.153602866
102,102,0.023125427999999996,29.444444399999995,12.7777778,10.0,1,2.05,2.25,25.89744639,28.47327591,0.147192767
103,103,0.057813569,29.444444399999995,12.7777778,10.0,1,2.05,2.25,25.76177096,28.26947096,0.152769861
104,104,0.17344070600000003,29.444444399999995,12.7777778,10.0,1,2.05,2.25,26.10527979,28.55736256,0.15676678
105,105,0.023125427999999996,35.0,12.7777778,10.0,1,2.05,2.25,26.24306992,28.823168,0.14441288
106,106,0.057813569,35.0,12.7777778,10.0,1,2.05,2.25,26.02540343,28.89839091,0.143831926
107,107,0.17344070600000003,35.0,12.7777778,10.0,1,2.05,2.25,26.46032878,29.16629819,0.187070541
108,108,0.023125427999999996,26.6666667,4.4444444,12.7777778,1,2.05,2.25,21.24003037,22.79624102,0.113356988
109,109,0.057813569,26.6666667,4.4444444,12.7777778,1,2.05,2.25,21.58052119,23.09842634,0.115461865
110,110,0.17344070600000003,26.6666667,4.4444444,12.7777778,1,2.05,2.25,22.15525536,23.52828665,0.10784607199999999
111,111,0.023125427999999996,29.444444399999995,4.4444444,12.7777778,1,2.05,2.25,21.91646123,23.40960926,0.11642994699999999
112,112,0.057813569,29.444444399999995,4.4444444,12.7777778,1,2.05,2.25,22.49149141,23.83744824,0.110293905
