index,sim,tem,mass,n,occ,x,y,MRT
122,40,13,20,28,3,13.175,5.8,29.20654094
123,41,25,8,20,3,7.185,5.8,21.89734525
124,41,25,8,20,3,10.185,3.8,21.9645219
125,41,25,8,20,3,13.175,5.8,22.00005323
126,42,16,4,24,3,7.185,5.8,25.44836887
127,42,16,4,24,3,10.185,3.8,25.43348401
128,42,16,4,24,3,13.175,5.8,25.47212948
129,43,22,8,22,3,7.185,5.8,23.65588971
130,43,22,8,22,3,10.185,3.8,23.70494407
131,43,22,8,22,3,13.175,5.8,23.73495838
132,44,19,7,21,3,7.185,5.8,22.80042398
133,44,19,7,21,3,10.185,3.8,22.86012997
134,44,19,7,21,3,13.175,5.8,22.88882244
135,45,18,15,28,3,7.185,5.8,29.04581386
136,45,18,15,28,3,10.185,3.8,29.07823458
137,45,18,15,28,3,13.175,5.8,29.10376243
138,46,24,9,23,3,7.185,5.8,24.53610179
139,46,24,9,23,3,10.185,3.8,24.55599954
140,46,24,9,23,3,13.175,5.8,24.59691495
141,47,27,2,23,3,7.185,5.8,24.41409999
142,47,27,2,23,3,10.185,3.8,24.37041246
143,47,27,2,23,3,13.175,5.8,24.40483595
144,48,19,9,27,3,7.185,5.8,28.1035585
145,48,19,9,27,3,10.185,3.8,28.08934876
146,48,19,9,27,3,13.175,5.8,28.12627872
147,49,12,9,28,3,7.185,5.8,29.04245239
148,49,12,9,28,3,10.185,3.8,29.03719583
149,49,12,9,28,3,13.175,5.8,29.01126343
150,50,15,3,24,3,7.185,5.8,25.41618964
151,50,15,3,24,3,10.185,3.8,25.43635441
152,50,15,3,24,3,13.175,5.8,25.42157955
153,51,21,17,28,3,7.185,5.8,29.04050945
154,51,21,17,28,3,10.185,3.8,29.08922093
155,51,21,17,28,3,13.175,5.8,29.12159641
156,52,12,3,26,3,7.185,5.8,27.20209365
157,52,12,3,26,3,10.185,3.8,27.2172714
158,52,12,3,26,3,13.175,5.8,27.23878244
159,53,19,1,23,3,7.185,5.8,24.53044418
160,53,19,1,23,3,10.185,3.8,24.48322023
161,53,19,1,23,3,13.175,5.8,24.50746773
162,54,17,3,26,3,7.185,5.8,27.21079269
163,54,17,3,26,3,10.185,3.8,27.17004452
164,54,17,3,26,3,13.175,5.8,27.15700961
165,55,17,19,25,3,7.185,5.8,26.4438389
