index,sim,tem,mass,n,occ,x,y,T
113,37,19,31,21,3,13.175,5.8,22.8315817450414
114,38,22,27,27,3,7.185,5.8,27.8068825283718
115,38,22,27,27,3,10.185,3.8,28.0732436848965
116,38,22,27,27,3,13.175,5.8,27.9855355293793
117,39,17,13,25,3,7.185,5.8,24.8545074205576
118,39,17,13,25,3,10.185,3.8,25.0251425492266
119,39,17,13,25,3,13.175,5.8,24.9250462395318
120,40,13,20,28,3,7.185,5.8,28.2028453421329
121,40,13,20,28,3,10.185,3.8,28.4791423237008
122,40,13,20,28,3,13.175,5.8,28.3793898275989
123,41,25,8,20,3,7.185,5.8,19.7342075506998
124,41,25,8,20,3,10.185,3.8,19.7868384275382
125,41,25,8,20,3,13.175,5.8,19.7088763966728
126,42,16,4,24,3,7.185,5.8,23.4356301491227
127,42,16,4,24,3,10.185,3.8,23.2381217525354
128,42,16,4,24,3,13.175,5.8,23.1558336263452
129,43,22,8,22,3,7.185,5.8,21.5662432984218
130,43,22,8,22,3,10.185,3.8,21.4740068388401
131,43,22,8,22,3,13.175,5.8,21.5263507279117
132,44,19,7,21,3,7.185,5.8,20.7758571150756
133,44,19,7,21,3,10.185,3.8,20.8463456108492
134,44,19,7,21,3,13.175,5.8,20.7468441470737
135,45,18,15,28,3,7.185,5.8,27.6121972216079
136,45,18,15,28,3,10.185,3.8,27.6215927520028
137,45,18,15,28,3,13.175,5.8,27.643493847732
138,46,24,9,23,3,7.185,5.8,22.4022838897921
139,46,24,9,23,3,10.185,3.8,22.2868117060727
140,46,24,9,23,3,13.175,5.8,22.3636089490731
141,47,27,2,23,3,7.185,5.8,21.3821438424732
142,47,27,2,23,3,10.185,3.8,21.1949316911133
143,47,27,2,23,3,13.175,5.8,21.2719764300231
144,48,19,9,27,3,7.185,5.8,26.2355531430802
145,48,19,9,27,3,10.185,3.8,26.0481074081096
146,48,19,9,27,3,13.175,5.8,26.0859319599398
147,49,12,9,28,3,7.185,5.8,27.5059424463988
148,49,12,9,28,3,10.185,3.8,27.2623109168895
149,49,12,9,28,3,13.175,5.8,26.9360245049996
150,50,15,3,24,3,7.185,5.8,23.362423423533
151,50,15,3,24,3,10.185,3.8,23.2209890845404
152,50,15,3,24,3,13.175,5.8,23.0253178899005
153,51,21,17,28,3,7.185,5.8,27.5407819622307
154,51,21,17,28,3,10.185,3.8,27.7084842052997
155,51,21,17,28,3,13.175,5.8,27.754238762227
156,52,12,3,26,3,7.185,5.8,25.4082417303646
157,52,12,3,26,3,10.185,3.8,25.119637804772
158,52,12,3,26,3,13.175,5.8,25.1469761271622
159,53,19,1,23,3,7.185,5.8,22.2064159954485
160,53,19,1,23,3,10.185,3.8,21.822848152865
161,53,19,1,23,3,13.175,5.8,21.7360683863091
162,54,17,3,26,3,7.185,5.8,25.1911746224322
163,54,17,3,26,3,10.185,3.8,24.8879600932494
164,54,17,3,26,3,13.175,5.8,24.6555079074328
165,55,17,19,25,3,7.185,5.8,25.3469190097387
166,55,17,19,25,3,10.185,3.8,25.6639349613623
167,55,17,19,25,3,13.175,5.8,25.4776811820505
168,56,14,16,21,3,7.185,5.8,21.6630247003657
169,56,14,16,21,3,10.185,3.8,21.9639949264304
170,56,14,16,21,3,13.175,5.8,21.8230552604132
171,57,14,11,20,3,7.185,5.8,20.3461726424766
172,57,14,11,20,3,10.185,3.8,20.6567352715043
173,57,14,11,20,3,13.175,5.8,20.542892630461
174,58,20,2,25,3,7.185,5.8,23.9778906725497
175,58,20,2,25,3,10.185,3.8,23.5444298816267
176,58,20,2,25,3,13.175,5.8,23.4650759814808
177,59,13,17,25,3,7.185,5.8,25.3139778026454
178,59,13,17,25,3,10.185,3.8,25.5938467923577
179,59,13,17,25,3,13.175,5.8,25.4928444434387
180,60,25,9,28,3,7.185,5.8,26.646258910208
181,60,25,9,28,3,10.185,3.8,26.2124754379463
182,60,25,9,28,3,13.175,5.8,26.4947532474413
183,61,11,6,20,3,7.185,5.8,20.2363480531737
184,61,11,6,20,3,10.185,3.8,20.3057119346684
185,61,11,6,20,3,13.175,5.8,20.0208704121333
186,62,16,5,21,3,7.185,5.8,20.786210110965
187,62,16,5,21,3,10.185,3.8,20.7631802307585
188,62,16,5,21,3,13.175,5.8,20.7605177884492
189,63,14,2,22,3,7.185,5.8,21.6831961815785
190,63,14,2,22,3,10.185,3.8,21.5622670365031
191,63,14,2,22,3,13.175,5.8,21.3950819459156
192,64,15,11,25,3,7.185,5.8,24.7281627179916
193,64,15,11,25,3,10.185,3.8,24.8968376832246
194,64,15,11,25,3,13.175,5.8,24.8743617937952
195,65,15,14,20,3,7.185,5.8,20.5704536259142
196,65,15,14,20,3,10.185,3.8,20.8904689552789
197,65,15,14,20,3,13.175,5.8,20.7369877110762
198,66,16,21,24,3,7.185,5.8,24.7081791857955
199,66,16,21,24,3,10.185,3.8,24.9700913593376
200,66,16,21,24,3,13.175,5.8,24.7936037739624
201,67,19,6,24,3,7.185,5.8,23.2920656141368
202,67,19,6,24,3,10.185,3.8,23.2518684718456
203,67,19,6,24,3,13.175,5.8,23.165110514963
204,68,24,7,27,3,7.185,5.8,25.501872599346
205,68,24,7,27,3,10.185,3.8,25.4435830790432
206,68,24,7,27,3,13.175,5.8,25.4949947159023
207,69,24,7,26,3,7.185,5.8,24.7923052943264
208,69,24,7,26,3,10.185,3.8,24.55004771918
209,69,24,7,26,3,13.175,5.8,24.6299432433045
210,70,16,6,25,3,7.185,5.8,24.3436524844939
211,70,16,6,25,3,10.185,3.8,24.2495806932847
212,70,16,6,25,3,13.175,5.8,24.2016871454808
213,71,19,17,28,3,7.185,5.8,27.6562466524856
214,71,19,17,28,3,10.185,3.8,27.7946961962186
215,71,19,17,28,3,13.175,5.8,27.8058625678966
216,72,19,1,21,3,7.185,5.8,20.2891743071312
217,72,19,1,21,3,10.185,3.8,20.0768948114489
218,72,19,1,21,3,13.175,5.8,20.0355230633414
219,73,18,9,25,3,7.185,5.8,24.5006484951318
220,73,18,9,25,3,10.185,3.8,24.3982280845381
221,73,18,9,25,3,13.175,5.8,24.4241317055399
222,74,18,4,21,3,7.185,5.8,20.595536263408
223,74,18,4,21,3,10.185,3.8,20.5958184398563
224,74,18,4,21,3,13.175,5.8,20.4165483364734
225,75,20,19,20,3,7.185,5.8,20.9207051953497
226,75,20,19,20,3,10.185,3.8,21.2222737054294
227,75,20,19,20,3,13.175,5.8,21.0406925878943
228,76,20,23,20,3,7.185,5.8,21.2613813375763
229,76,20,23,20,3,10.185,3.8,21.5259556532682
230,76,20,23,20,3,13.175,5.8,21.4003043330156
231,77,22,8,25,3,7.185,5.8,24.1194695251972
232,77,22,8,25,3,10.185,3.8,23.9912912135192
233,77,22,8,25,3,13.175,5.8,24.0619437359878
234,78,16,23,23,3,7.185,5.8,23.9297988946122
235,78,16,23,23,3,10.185,3.8,24.1888423095364
236,78,16,23,23,3,13.175,5.8,24.0602328635287
237,79,14,15,22,3,7.185,5.8,22.4542912769943
238,79,14,15,22,3,10.185,3.8,22.7631743677048
239,79,14,15,22,3,13.175,5.8,22.634169794388
240,80,18,13,27,3,7.185,5.8,26.5514334416886
241,80,18,13,27,3,10.185,3.8,26.6165787715107
242,80,18,13,27,3,13.175,5.8,26.6099341127809
243,81,13,24,28,3,7.185,5.8,28.5428580219102
244,81,13,24,28,3,10.185,3.8,28.8010157644402
245,81,13,24,28,3,13.175,5.8,28.6816905258129
246,82,16,6,26,3,7.185,5.8,25.3970350602704
247,82,16,6,26,3,10.185,3.8,24.8353154573304
248,82,16,6,26,3,13.175,5.8,24.9335234996049
249,83,14,7,23,3,7.185,5.8,22.872624558858
250,83,14,7,23,3,10.185,3.8,22.8506452131425
251,83,14,7,23,3,13.175,5.8,22.7759708969878
252,84,18,3,20,3,7.185,5.8,19.6371577342713
253,84,18,3,20,3,10.185,3.8,19.6357326484375
254,84,18,3,20,3,13.175,5.8,19.5337826019019
255,85,15,28,22,3,7.185,5.8,23.3854528678007
256,85,15,28,22,3,10.185,3.8,23.5857257677264
257,85,15,28,22,3,13.175,5.8,23.4354805595983
258,86,20,24,21,3,7.185,5.8,22.2390174470778
259,86,20,24,21,3,10.185,3.8,22.4976405393459
260,86,20,24,21,3,13.175,5.8,22.371571786415
261,87,22,1,28,3,7.185,5.8,25.8442613797346
262,87,22,1,28,3,10.185,3.8,25.7138640127486
263,87,22,1,28,3,13.175,5.8,25.7392752672416
264,88,16,28,25,3,7.185,5.8,26.1025244457222
265,88,16,28,25,3,10.185,3.8,26.3330030108394
266,88,16,28,25,3,13.175,5.8,26.2038943754912
267,89,20,29,28,3,7.185,5.8,28.8615556350441
268,89,20,29,28,3,10.185,3.8,29.108288451883
269,89,20,29,28,3,13.175,5.8,29.0257734132462
270,90,20,24,28,3,7.185,5.8,28.3850403002507
271,90,20,24,28,3,10.185,3.8,28.6811407830936
272,90,20,24,28,3,13.175,5.8,28.4556121407911
273,91,17,23,21,3,7.185,5.8,22.1337003309449
274,91,17,23,21,3,10.185,3.8,22.3877364797551
275,91,17,23,21,3,13.175,5.8,22.2741374320402
276,92,16,29,22,3,7.185,5.8,23.4716278889007
277,92,16,29,22,3,10.185,3.8,23.6659867244466
278,92,16,29,22,3,13.175,5.8,23.5113332956806
279,93,12,7,23,3,7.185,5.8,22.8872830101222
280,93,12,7,23,3,10.185,3.8,23.0577268667814
281,93,12,7,23,3,13.175,5.8,22.9698621627483
282,94,14,20,24,3,7.185,5.8,24.6656786295567
283,94,14,20,24,3,10.185,3.8,24.9249061755585
284,94,14,20,24,3,13.175,5.8,24.7819627043551
285,95,12,5,23,3,7.185,5.8,22.8286889105463
286,95,12,5,23,3,10.185,3.8,22.6707108896334
287,95,12,5,23,3,13.175,5.8,22.7564240818359
288,96,21,29,27,3,7.185,5.8,27.9854486064064
289,96,21,29,27,3,10.185,3.8,28.2322119605734
290,96,21,29,27,3,13.175,5.8,28.1531533964409
291,97,20,22,26,3,7.185,5.8,26.4540873672643
292,97,20,22,26,3,10.185,3.8,26.7595667086077
293,97,20,22,26,3,13.175,5.8,26.5252075881155
294,98,20,8,27,3,7.185,5.8,26.0554344740731
295,98,20,8,27,3,10.185,3.8,25.885448210534
296,98,20,8,27,3,13.175,5.8,25.8692161678112
297,99,17,6,23,3,7.185,5.8,22.632866314908
298,99,17,6,23,3,10.185,3.8,22.5020435886609
299,99,17,6,23,3,13.175,5.8,22.4818360169255
300,100,19,17,24,3,7.185,5.8,24.1948730805868
301,100,19,17,24,3,10.185,3.8,24.5520323180705
302,100,19,17,24,3,13.175,5.8,24.3394105647372
303,101,22,2,23,3,7.185,5.8,21.8958299600896
304,101,22,2,23,3,10.185,3.8,21.6767749748286
305,101,22,2,23,3,13.175,5.8,21.6250354803113
306,102,11,4,21,3,7.185,5.8,21.0769325674344
307,102,11,4,21,3,10.185,3.8,21.0578097662377
308,102,11,4,21,3,13.175,5.8,20.7284825029826
309,103,11,15,24,3,7.185,5.8,24.3648694282967
310,103,11,15,24,3,10.185,3.8,24.644041070565
311,103,11,15,24,3,13.175,5.8,24.5650897715712
312,104,19,29,26,3,7.185,5.8,27.0988515804108
313,104,19,29,26,3,10.185,3.8,27.3359398110417
314,104,19,29,26,3,13.175,5.8,27.2178271083103
315,105,13,25,26,3,7.185,5.8,26.7957188873577
316,105,13,25,26,3,10.185,3.8,27.0379625012058
317,105,13,25,26,3,13.175,5.8,26.9185169572833
318,106,12,7,25,3,7.185,5.8,24.7839123613326
319,106,12,7,25,3,10.185,3.8,24.4944171753203
320,106,12,7,25,3,13.175,5.8,24.6309615517584
321,107,22,31,25,3,7.185,5.8,26.4376255202374
322,107,22,31,25,3,10.185,3.8,26.6469962213963
323,107,22,31,25,3,13.175,5.8,26.4984403690885
324,108,21,27,25,3,7.185,5.8,26.042442501186
325,108,21,27,25,3,10.185,3.8,26.2970097045497
326,108,21,27,25,3,13.175,5.8,26.2088597469489
327,109,20,12,20,3,7.185,5.8,20.1894759711959
328,109,20,12,20,3,10.185,3.8,20.540349031386
329,109,20,12,20,3,13.175,5.8,20.3397493919173
330,110,16,12,21,3,7.185,5.8,21.2673392112657
331,110,16,12,21,3,10.185,3.8,21.5364782807143
332,110,16,12,21,3,13.175,5.8,21.4107317652238
333,111,16,22,23,3,7.185,5.8,23.8602829867024
334,111,16,22,23,3,10.185,3.8,24.1347296392158
335,111,16,22,23,3,13.175,5.8,23.9812014262231
336,112,22,7,27,3,7.185,5.8,25.6888047596037
337,112,22,7,27,3,10.185,3.8,25.5359270941728
338,112,22,7,27,3,13.175,5.8,25.6313749841298
339,113,19,28,20,3,7.185,5.8,21.663052365683
340,113,19,28,20,3,10.185,3.8,21.8625931179438
341,113,19,28,20,3,13.175,5.8,21.7147691429356
342,114,19,31,25,3,7.185,5.8,26.3836215822409
343,114,19,31,25,3,10.185,3.8,26.5845950298849
344,114,19,31,25,3,13.175,5.8,26.434787432532
345,115,16,3,22,3,7.185,5.8,21.5827280286459
346,115,16,3,22,3,10.185,3.8,21.3977304498718
347,115,16,3,22,3,13.175,5.8,21.3572975109519
348,116,18,17,26,3,7.185,5.8,25.9890301137636
349,116,18,17,26,3,10.185,3.8,26.205492100206
350,116,18,17,26,3,13.175,5.8,26.1431499725409
351,117,22,29,20,3,7.185,5.8,21.8260341665521
352,117,22,29,20,3,10.185,3.8,21.9952963390012
353,117,22,29,20,3,13.175,5.8,21.8821279666139
354,118,16,1,26,3,7.185,5.8,25.016449469902
355,118,16,1,26,3,10.185,3.8,24.406860519056
